node_id,x,y,label,model,method
81941,0.5053683,-2.6332488,3,GCN,PCA
111512,1.6893194,-1.2438883,24,GCN,PCA
134673,3.134481,1.000385,16,GCN,PCA
122719,2.7830894,0.324687,16,GCN,PCA
34799,2.5447478,-0.7674136,26,GCN,PCA
105582,-2.001248,-1.7062681,4,GCN,PCA
90762,3.7946823,1.4181187,16,GCN,PCA
162949,-3.7976654,-0.018194199,28,GCN,PCA
85814,2.7986126,-0.8199749,24,GCN,PCA
106627,0.46564907,-1.9118793,24,GCN,PCA
145234,0.89108974,-1.6133249,30,GCN,PCA
153136,-4.8096075,0.0022633076,28,GCN,PCA
151750,1.4182017,-1.8169246,37,GCN,PCA
158835,-5.303233,2.873018,26,GCN,PCA
8373,-0.84345603,-1.5452433,24,GCN,PCA
31638,2.711884,0.58749676,24,GCN,PCA
66095,2.753526,0.6647408,5,GCN,PCA
30762,-2.4032984,-0.9893328,5,GCN,PCA
157638,-0.6621238,-2.6790464,23,GCN,PCA
148134,2.4980445,-0.61795044,10,GCN,PCA
100041,-1.8319952,-1.9420986,5,GCN,PCA
151788,2.6619408,0.63488054,16,GCN,PCA
18215,3.5174034,2.656514,16,GCN,PCA
94261,2.1536517,-1.4031235,30,GCN,PCA
131939,-1.9878681,-3.4639966,34,GCN,PCA
131726,4.09246,1.9564645,16,GCN,PCA
126976,4.225873,3.6513054,16,GCN,PCA
167017,2.089091,-0.37028718,24,GCN,PCA
63010,-5.2967896,0.43091202,28,GCN,PCA
140607,-0.5747428,-3.3799136,34,GCN,PCA
134084,-8.409318,5.364092,29,GCN,PCA
6095,2.7278268,-0.7049928,30,GCN,PCA
55609,4.7302427,2.7895086,16,GCN,PCA
37125,-1.5574465,-2.017021,20,GCN,PCA
17382,-0.3274298,4.3505344,28,GCN,PCA
155290,-6.673902,3.5465891,8,GCN,PCA
38603,2.6183634,-0.06209874,16,GCN,PCA
168694,-1.8227675,-3.4584658,34,GCN,PCA
83038,-5.216838,1.7683108,28,GCN,PCA
62745,0.9157304,-3.1725519,23,GCN,PCA
155202,2.42506,-0.6204746,30,GCN,PCA
151031,-2.0074742,-0.93478954,18,GCN,PCA
61379,2.269012,1.803047,16,GCN,PCA
26402,1.9297552,0.41538072,16,GCN,PCA
31731,2.2174153,-0.021081448,16,GCN,PCA
165303,0.7285095,-3.1868498,24,GCN,PCA
23508,-7.044411,4.0522995,28,GCN,PCA
128680,2.7757704,1.0037944,16,GCN,PCA
8282,1.9618454,-0.6281264,16,GCN,PCA
54312,1.6416855,-1.845141,24,GCN,PCA
60535,0.7044682,-2.6509128,2,GCN,PCA
43530,1.3821945,-1.3877189,24,GCN,PCA
85445,3.4637663,-0.025289297,24,GCN,PCA
168578,1.0829947,-2.3223104,24,GCN,PCA
118912,-1.3925571,-2.4455895,34,GCN,PCA
5891,2.172836,1.0677228,16,GCN,PCA
142059,0.75930387,-2.423387,10,GCN,PCA
137653,5.5290384,2.0849712,16,GCN,PCA
73364,-0.18278027,-4.5040307,2,GCN,PCA
119542,-1.0156153,-2.2759278,27,GCN,PCA
55665,2.146418,0.41134763,16,GCN,PCA
48645,-7.411104,3.475899,5,GCN,PCA
97223,2.1088636,1.3283255,24,GCN,PCA
165768,0.6749374,-0.19869447,3,GCN,PCA
97568,-5.2703123,2.7771862,8,GCN,PCA
62474,2.7612898,2.4601429,13,GCN,PCA
136039,2.170671,0.6320627,27,GCN,PCA
147876,-1.2137859,-3.5054364,9,GCN,PCA
120681,-1.4183106,-2.8156939,34,GCN,PCA
2465,-0.7871733,0.73140645,27,GCN,PCA
36456,7.4324493,6.4629555,16,GCN,PCA
29955,3.9825575,1.3247163,16,GCN,PCA
97379,-0.11034444,2.9762614,28,GCN,PCA
65559,1.0427225,-1.2554597,16,GCN,PCA
14864,-2.7791328,-2.0754182,19,GCN,PCA
54422,-2.299982,-2.1691453,34,GCN,PCA
111649,1.6860049,-1.2733337,10,GCN,PCA
91226,-0.58653337,-1.4195879,5,GCN,PCA
143538,2.2748182,-0.7936512,24,GCN,PCA
160549,-1.341511,-4.9166102,2,GCN,PCA
86717,1.086695,-0.57985735,16,GCN,PCA
138815,6.8836317,2.7278454,30,GCN,PCA
44914,1.4004645,-1.1174242,3,GCN,PCA
17199,0.16165954,-2.0081425,24,GCN,PCA
16639,3.3027186,0.30984116,16,GCN,PCA
127875,-2.7039647,-0.66113687,37,GCN,PCA
99676,0.14747435,0.09127498,5,GCN,PCA
4133,-1.5471444,-3.2565587,20,GCN,PCA
88383,-5.0240884,-2.3826466,36,GCN,PCA
155668,-1.1227751,1.4338691,24,GCN,PCA
102731,-2.1673493,-3.1773567,2,GCN,PCA
131305,-5.1400776,0.334414,28,GCN,PCA
129944,-0.7670536,-4.6616554,36,GCN,PCA
46941,3.683612,1.5418599,16,GCN,PCA
105494,-2.7575657,-2.9977627,34,GCN,PCA
