node_id,x,y,label,model,method
81941,-1.2332482,-2.036213,3,GraphSAGE,PCA
111512,-2.6333978,-2.078492,24,GraphSAGE,PCA
134673,-2.851369,1.7892814,16,GraphSAGE,PCA
122719,-3.718106,4.4940844,16,GraphSAGE,PCA
34799,-2.3035264,-2.9150853,26,GraphSAGE,PCA
105582,2.9562323,-2.9935145,4,GraphSAGE,PCA
90762,-5.622285,3.5680985,16,GraphSAGE,PCA
162949,2.6375303,-1.105125,28,GraphSAGE,PCA
85814,-3.642433,1.6673937,24,GraphSAGE,PCA
106627,-1.5530697,-1.5483714,24,GraphSAGE,PCA
145234,-3.4579391,-1.4041153,30,GraphSAGE,PCA
153136,8.814479,0.65853834,28,GraphSAGE,PCA
151750,-3.1079574,-3.3111844,37,GraphSAGE,PCA
158835,5.6718855,-2.2586248,26,GraphSAGE,PCA
8373,-0.814065,-0.14391828,24,GraphSAGE,PCA
31638,-3.2555857,2.981132,24,GraphSAGE,PCA
66095,-1.3013356,-0.462906,5,GraphSAGE,PCA
30762,-0.17019618,-2.3395557,5,GraphSAGE,PCA
157638,-1.2781584,-3.0918336,23,GraphSAGE,PCA
148134,-3.1676905,-1.9259013,10,GraphSAGE,PCA
100041,2.9618895,-3.3376126,5,GraphSAGE,PCA
151788,-0.8734057,3.7842965,16,GraphSAGE,PCA
18215,-3.375641,10.409031,16,GraphSAGE,PCA
94261,-3.4067812,-2.4145894,30,GraphSAGE,PCA
131939,0.47524863,-2.407982,34,GraphSAGE,PCA
131726,-2.5337694,6.0694957,16,GraphSAGE,PCA
126976,-3.9825861,8.12468,16,GraphSAGE,PCA
167017,-4.0815907,1.5979071,24,GraphSAGE,PCA
63010,10.807574,2.1544127,28,GraphSAGE,PCA
140607,-1.0485035,-2.169476,34,GraphSAGE,PCA
134084,4.8547792,-0.50769496,29,GraphSAGE,PCA
6095,-4.570749,-2.4014597,30,GraphSAGE,PCA
55609,-6.2664814,7.085528,16,GraphSAGE,PCA
37125,-0.053567827,-0.7819226,20,GraphSAGE,PCA
17382,2.5985873,1.0145259,28,GraphSAGE,PCA
155290,6.806174,0.83542347,8,GraphSAGE,PCA
38603,-1.0714946,-1.376195,16,GraphSAGE,PCA
168694,0.14469731,-2.777886,34,GraphSAGE,PCA
83038,10.932507,3.3487244,28,GraphSAGE,PCA
62745,-0.77969235,-3.1579354,23,GraphSAGE,PCA
155202,-5.6623793,-1.8656955,30,GraphSAGE,PCA
151031,-0.1669138,-1.7235157,18,GraphSAGE,PCA
61379,-1.9555156,10.849926,16,GraphSAGE,PCA
26402,-2.370219,5.219131,16,GraphSAGE,PCA
31731,-1.4352946,2.232842,16,GraphSAGE,PCA
165303,0.33244336,-3.7480025,24,GraphSAGE,PCA
23508,11.66269,3.244896,28,GraphSAGE,PCA
128680,-3.9512064,8.714325,16,GraphSAGE,PCA
8282,-2.2441669,1.5818691,16,GraphSAGE,PCA
54312,-3.9331505,-2.2653756,24,GraphSAGE,PCA
60535,-1.3982682,-3.091362,2,GraphSAGE,PCA
43530,-4.907049,3.2002168,24,GraphSAGE,PCA
85445,-3.8640316,0.046084166,24,GraphSAGE,PCA
168578,-0.93992937,-2.123696,24,GraphSAGE,PCA
118912,1.0039339,-1.5561326,34,GraphSAGE,PCA
5891,-2.3259604,8.486805,16,GraphSAGE,PCA
142059,-0.5739538,-2.5441127,10,GraphSAGE,PCA
137653,-2.1983047,1.6342854,16,GraphSAGE,PCA
73364,-0.44119844,-4.952711,2,GraphSAGE,PCA
119542,0.78708845,-3.638284,27,GraphSAGE,PCA
55665,-2.0166612,6.7919106,16,GraphSAGE,PCA
48645,5.6127205,-0.4200077,5,GraphSAGE,PCA
97223,-2.4921017,2.5261607,24,GraphSAGE,PCA
165768,-1.8365004,-1.768687,3,GraphSAGE,PCA
97568,3.4917817,-1.4219987,8,GraphSAGE,PCA
62474,-1.7939453,-1.4952751,13,GraphSAGE,PCA
136039,-0.124554455,0.17020917,27,GraphSAGE,PCA
147876,0.5308748,-2.9793265,9,GraphSAGE,PCA
120681,-0.4130098,-1.2584212,34,GraphSAGE,PCA
2465,1.6544075,0.1157558,27,GraphSAGE,PCA
36456,-2.2431939,9.759081,16,GraphSAGE,PCA
29955,-4.351708,4.056952,16,GraphSAGE,PCA
97379,2.609125,3.3300467,28,GraphSAGE,PCA
65559,-2.8840768,3.937459,16,GraphSAGE,PCA
